rsi_period,entry,exit,stop,final,return_pct,trades,win_rate
10,53,67,0.01,942.1566617576549,-37.18955588282301,200,52.5
10,46,70,0.007,941.9385937799065,-37.20409374800624,179,41.899441340782126
10,45,62,0.01,941.737430171885,-37.21750465520767,187,51.87165775401069
10,48,68,0.01,941.4638029083069,-37.23574647277954,158,50.0
10,47,68,0.01,940.9747651288212,-37.26834899141191,154,49.35064935064935
10,50,70,0.005,940.3987830556031,-37.30674779629312,230,36.08695652173913
10,48,66,0.01,940.3685223392857,-37.308765177380955,170,53.529411764705884
10,51,67,0.01,940.3236892874879,-37.3117540475008,186,52.1505376344086
8,47,68,0.01,940.3210980880217,-37.31192679413189,196,52.55102040816326
10,56,70,0.007,939.4374237111642,-37.37083841925571,227,43.17180616740088
10,51,69,0.005,938.8623933024572,-37.40917377983618,244,37.704918032786885
10,59,70,0.01,938.4095925834183,-37.43936049443878,208,49.519230769230774
10,47,67,0.01,938.1847085572678,-37.45435276284882,160,50.625
10,48,67,0.01,937.363305980192,-37.509112934653864,165,51.515151515151516
10,55,70,0.007,937.0740271814507,-37.52839818790329,224,43.30357142857143
8,49,68,0.01,935.9056328670445,-37.60629114219704,212,54.24528301886793
8,45,66,0.01,935.5589579521023,-37.62940280319318,204,52.94117647058824
10,55,69,0.007,934.438818752647,-37.70407874982353,233,44.20600858369099
8,46,66,0.01,932.4277098961013,-37.83815267359325,210,53.333333333333336
10,46,69,0.007,932.2558160571041,-37.849612262859736,184,42.391304347826086
10,49,68,0.007,930.9231981424402,-37.93845345717065,197,43.14720812182741
10,47,65,0.01,930.8580815030705,-37.94279456646197,173,52.02312138728323
10,59,69,0.01,929.9415025874338,-38.00389982750442,218,50.0
10,50,69,0.005,929.5088628131622,-38.03274247912252,238,36.97478991596639
8,46,70,0.007,929.4261784766646,-38.03825476822236,211,46.44549763033176
10,45,69,0.007,928.1543948431756,-38.1230403437883,182,41.208791208791204
10,54,68,0.01,927.6020147012894,-38.15986568658071,198,49.494949494949495
10,48,65,0.01,926.7206962833774,-38.21862024777484,178,53.37078651685393
10,60,70,0.01,925.2864319642813,-38.314237869047915,211,50.23696682464455
10,47,70,0.007,924.1909645331284,-38.387269031124774,182,41.208791208791204
10,46,62,0.01,923.523641213464,-38.43175725243574,193,52.84974093264248
